0;0;0;0;0;0;0;0;;;;#;Evento;T Inicial;T Final;A;C;FN;FM;FD;D
6,577;0,159491335;-0,16241998;0,877385321;1,8954;7,0419;-164,72923;0;;;;;;;;;;;;;
6,619;-0,052106014;-0,08908053;1,018695209;1,70202;7,06537;-164,76854;0;;;;;;;;;;;;;
6,657;-0,077;-0,108727829;1,069703364;1,64398;7,06692;-164,86247;0;;;;;;;;;;;;;
6,696;-0,199394495;0,00927421;1,090447503;1,71339;7,03485;-164,9305;0;;;;;;;;;;;;;
6,736;-0,155586137;-0,036852192;1,042124363;1,86854;6,94799;-165,00706;0;;;;;;;;;;;;;
6,744;-0,155098879;-0,050642202;1,018695209;1,86854;6,94799;-165,00706;0;;;;;;;;;;;;;
6,777;-0,034777778;-0,077731906;1,155001019;2,09986;6,85421;-165,09074;0;;;;;;;;;;;;;
6,815;-0,078586137;-0,031605505;0,977571865;2,18454;6,73095;-165,15482;0;;;;;;;;;;;;;
6,858;-0,059794088;-0,05564526;0,972567788;2,28469;6,64267;-165,22722;0;;;;;;;;;;;;;
6,895;-0,008054027;-0,097379205;1,019549439;2,31172;6,56529;-165,29466;0;;;;;;;;;;;;;
6,935;-0,03062895;-0,061868502;0,968541284;2,29448;6,51539;-165,36052;0;;;;;;;;;;;;;
6,937;0,01854842;-0,042588175;0,941938838;2,29448;6,51539;-165,36052;0;;;;;;;;;;;;;
6,978;-0,053326198;-0,056254842;1,024918451;2,22687;6,45716;-165,42485;0;;;;;;;;;;;;;
7,031;0,054425076;-0,083956167;0,937424057;2,16109;6,39783;-165,49268;0;;;;;;;;;;;;;
7,055;-0,045760449;-0,043442406;1,042246687;2,00652;6,31483;-165,54935;0;;;;;;;;;;;;;
7,095;-0,018426096;-0,022697248;0,959633028;1,90588;6,24843;-165,60835;0;;;;;;;;;;;;;
7,135;-0,017816514;-0,01769419;0,998681957;1,76514;6,15461;-165,65742;0;;;;;;;;;;;;;
7,138;-0,015253823;-0,037828746;1,007224261;1,76514;6,15461;-165,65742;0;;;;;;;;;;;;;
7,179;-0,014033639;-0,0269684;1,01588787;1,76514;6,15461;-165,65742;0;;;;;;;;;;;;;
7,216;0,01012844;-0,031360856;1,064455657;1,56441;5,94677;-165,7012;0;;;;;;;;;;;;;
7,258;-0,028799185;-0,019646279;0,990627931;1,47217;5,83031;-165,76114;0;;;;;;;;;;;;;
7,295;0,032703364;-0,044051988;0,990994903;1,44036;5,72613;-165,8287;0;;;;;;;;;;;;;
7,335;-0,023917431;0,000365953;1,024918451;1,37646;5,63282;-165,89198;0;;;;;;;;;;;;;
7,338;0,010372069;-0,013788991;0,948529052;1,37646;5,63282;-165,89198;0;;;;;;;;;;;;;
7,377;0,028920489;-0,015863405;1,047859327;1,35046;5,52774;-165,95526;0;;;;;;;;;;;;;
7,416;0,025748216;-0,054425076;1,004295617;1,30201;5,40953;-166,02109;0;;;;;;;;;;;;;
7,455;0,008908257;-0,022453619;1,043589195;1,25721;5,31856;-166,08879;0;;;;;;;;;;;;;
