0;0;0;0;0;0;0;0;;;;#;Evento;T Inicial;T Final;A;C;FN;FM;FD;D
4,219;-0,008176351;0,010494393;1,077635066;0,08049;-2,4288;7,64006;0;;;;;;;;;;;;;
4,258;-0,028554536;0,077488277;1,05750051;0,10215;-2,44553;7,72427;0;;;;;;;;;;;;;
4,261;-0,005734964;0,082247706;1,020769623;0,10215;-2,44553;7,72427;0;;;;;;;;;;;;;
4,299;-0,03709684;0,08627421;1,048713558;0,10903;-2,48349;7,81316;0;;;;;;;;;;;;;
4,339;0,015253823;0,0269684;0,994410805;0,13691;-2,51762;7,90455;0;;;;;;;;;;;;;
4,381;-0,035388379;0,087494393;0,942670744;0,12616;-2,54356;8,01098;0;;;;;;;;;;;;;
4,418;0,038560652;0,073094801;0,930712538;0,1372;-2,5737;8,12732;0;;;;;;;;;;;;;
4,459;-0,045760449;0,064308869;0,923269113;0,151;-2,56863;8,24778;0;;;;;;;;;;;;;
4,462;0,007809378;0,038805301;1,003441386;0,151;-2,56863;8,24778;0;;;;;;;;;;;;;
4,503;-0,029653415;0,076390418;0,956826707;0,1724;-2,60478;8,3692;0;;;;;;;;;;;;;
4,54;-0,011470948;0,039659531;1,075926606;0,18644;-2,62406;8,50572;0;;;;;;;;;;;;;
4,579;-0,027334353;0,084931702;0,880924567;0,22562;-2,60727;8,64955;0;;;;;;;;;;;;;
4,619;0,049787971;0,074925586;1,112535168;0,24222;-2,67149;8,79451;0;;;;;;;;;;;;;
4,658;-0,063211009;-0,017571865;1,050788991;0,26624;-2,70637;8,92226;0;;;;;;;;;;;;;
4,66;0,055522936;0,100673802;0,998560652;0,26624;-2,70637;8,92226;0;;;;;;;;;;;;;
4,698;-0,037585117;0,009030581;1,042978593;0,25543;-2,70734;9,03652;0;;;;;;;;;;;;;
4,74;-0,005003058;0,069434251;0,990018349;0,26504;-2,73655;9,12634;0;;;;;;;;;;;;;
4,786;0,01940265;0,030385321;1,019427115;0,2213;-2,78079;9,19739;0;;;;;;;;;;;;;
4,818;0,012568807;0,120076453;0,956460754;0,13885;-2,84575;9,25611;0;;;;;;;;;;;;;
4,858;-0,023673802;0,036730887;1,104237513;0,11808;-2,90226;9,29366;0;;;;;;;;;;;;;
4,861;0,011348624;0,113853211;0,960243629;0,11808;-2,90226;9,29366;0;;;;;;;;;;;;;
4,9;-0,006101937;0,033802243;1,10106422;0,07192;-2,93372;9,31527;0;;;;;;;;;;;;;
4,939;-0,034168196;0,086762487;0,991238532;0,05765;-2,96913;9,32948;0;;;;;;;;;;;;;
4,979;0,082734964;0,057475025;1,084101937;0,08225;-3,00744;9,34508;0;;;;;;;;;;;;;
5,021;-0,071996942;0,063576962;1,007956167;0,0217;-3,03803;9,35961;0;;;;;;;;;;;;;
5,056;0,017937819;0,077122324;1,045784913;0,07156;-2,98608;9,38313;0;;;;;;;;;;;;;
5,058;-0,000365953;0,096280326;1,107898063;0,07156;-2,98608;9,38313;0;;;;;;;;;;;;;
5,098;-0,005125382;-0,000365953;1,062503568;0,08117;-2,96647;9,40807;0;;;;;;;;;;;;;
5,14;0,010982671;0,028799185;1,119003058;0,09223;-2,89007;9,43734;0;;;;;;;;;;;;;
5,178;0,023551478;0,092863405;0,950847095;0,13821;-2,85231;9,46827;0;;;;;;;;;;;;;
5,217;-0,042710499;0,064431193;1,087884811;0,15924;-2,80201;9,49981;0;;;;;;;;;;;;;
5,257;-0,028554536;0,092497452;1,053595311;0,2226;-2,79555;9,53488;0;;;;;;;;;;;;;
5,26;-0,028310907;0,069311927;0,949626911;0,2226;-2,79555;9,53488;0;;;;;;;;;;;;;
5,307;0,026724771;0,104334353;1,10838634;0,23013;-2,74356;9,56694;0;;;;;;;;;;;;;
5,34;-0,046005097;0,000488277;1,062381244;0,26241;-2,75635;9,59837;0;;;;;;;;;;;;;
